t,AccG_X,AccG_Y,AccG_Z,Brake,Clutch,ERSCurrentKJ,ERSDelivery,ERSHeatCharging,ERSMaxJ,ERSRecovery,Gas,Gear,KersCharge,KersInput,LapCount,RPM,RideHeight_F,RideHeight_R,SlipAngle_FL,SlipAngle_FR,SlipAngle_RL,SlipAngle_RR,SlipRatio_FL,SlipRatio_FR,SlipRatio_RL,SlipRatio_RR,SpeedKMH,SpeedMPH,SpeedMS,carName,graphics.bestTime,graphics.completedLaps,graphics.currentTime,graphics.isInPit,graphics.lastTime,graphics.position,graphics.session,graphics.sessionTimeLeft,graphics.tyreCompound,inPit,physics.abs,physics.brake,physics.carDamage0,physics.carDamage1,physics.carDamage2,physics.carDamage3,physics.carDamage4,physics.fuel,physics.gas,physics.rpms,physics.speedKmh,physics.tc,physics.tyreWear0,physics.tyreWear1,physics.tyreWear2,physics.tyreWear3,static.hasExtraLap,static.isTimedRace,static.maxFuel,static.maxRpm,static.playerNick,static.track,tyreCompound
0.0,0.0,0.1,0.0,0.0,0.0,2000.0,2.0,1.0,4000000.0,1.0,0.5,6,0.5,0.0,0,8000,0.06,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,240.0,149.12904,66.66666666666667,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:000,0,1:31:200,1,2,1800000.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.5,8000,240.0,0.2,100.0,100.0,100.0,100.0,0,1,60.0,8500,Tester,spa,Soft
0.1,0.020943270508717908,0.1,0.0,0.0,0.0,2013.962520595923,2.0,1.0,4000000.0,1.0,0.5083773082034871,5,0.5034906301489808,0.0,0,7999,0.06013962180339145,0.07516754616406975,0.00034116596743516414,0.00034116596743516414,0.0002729327739481313,0.0002729327739481313,7.895555246356656e-06,8.772839162618506e-06,0.020344742451218367,0.020345181093176498,239.99122716083738,149.1235888121567,66.66422976689927,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:100,0,1:31:200,1,2,1799900.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.99733333333333,0.5083773082034871,7999,239.99122716083738,0.2,99.995,99.995,99.994,99.994,0,1,60.0,8500,Tester,spa,Soft
0.2,0.04188245808535332,0.1,0.0,0.0,0.0,2027.9243606782904,2.0,1.0,4000000.0,1.0,0.5167529832341413,5,0.5069810901695726,0.0,0,7999,0.060279216387235685,0.07533505966468282,0.0013645973587601556,0.0013645973587601556,0.0010916778870081246,0.0010916778870081246,3.1580681731306456e-05,3.5089646368118286e-05,0.020708717940370585,0.02071047242268899,239.9649103536319,149.1072363113466,66.65691954267552,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:200,0,1:31:200,1,2,1799800.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.99466666666667,0.5167529832341413,7999,239.9649103536319,0.2,99.99,99.99,99.988,99.988,0,1,60.0,8500,Tester,spa,Soft
0.3,0.06281348059379946,0.1,0.0,0.0,0.0,2041.884839766714,2.0,1.0,4000000.0,1.0,0.5251253922375198,5,0.5104712099416785,0.0,0,7997,0.06041875653729199,0.07550250784475039,0.0030700946539956586,0.0030700946539956586,0.0024560757231965272,0.0024560757231965272,7.105076199247096e-05,7.89452911027455e-05,0.021091855509713812,0.021095802774268948,239.92105470889726,149.0799856855222,66.64473741913812,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:300,0,1:31:200,1,2,1799700.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.992,0.5251253922375198,7997,239.92105470889726,0.2,99.985,99.985,99.982,99.982,0,1,60.0,8500,Tester,spa,Soft
0.4,0.0837322574897457,0.1,0.0,0.0,0.0,2055.8432774471376,2.0,1.0,4000000.0,1.0,0.5334929029958982,5,0.5139608193617844,0.0,0,7996,0.060558215049931634,0.07566985805991797,0.005457325363066423,0.005457325363066423,0.004365860290453139,0.004365860290453139,0.00012629810125953722,0.000140331223621708,0.02149408046581981,0.021501097027000895,239.8596687763783,149.04184224724696,66.62768577121619,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:400,0,1:31:200,1,2,1799600.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.989333333333335,0.5334929029958982,7996,239.8596687763783,0.2,99.98,99.98,99.976,99.976,0,1,60.0,8500,Tester,spa,Soft
0.5,0.10463471061618795,0.1,0.0,0.0,0.0,2069.798993405002,2.0,1.0,4000000.0,1.0,0.5418538842464752,5,0.5174497483512505,0.0,0,7993,0.06069756473744125,0.0758370776849295,0.008525824090615308,0.008525824090615308,0.006820659272492247,0.006820659272492247,0.00019731192895423998,0.0002192354766158222,0.021915314394136413,0.021926276167967204,239.78076452338416,148.99281343265974,66.60576792316226,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:500,0,1:31:200,1,2,1799500.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.986666666666665,0.5418538842464752,7993,239.78076452338416,0.2,99.975,99.975,99.97,99.97,0,1,60.0,8500,Tester,spa,Soft
0.6,0.12551676499847322,0.1,0.0,0.0,0.0,2083.751307458399,2.0,1.0,4000000.0,1.0,0.5502067059993893,5,0.5209378268645998,0.0,0,7991,0.06083677843332315,0.07600413411998778,0.012274992626734704,0.012274992626734704,0.009819994101387765,0.009819994101387765,0.00028407840079014597,0.00031564266754460665,0.02235547517427464,0.022371257307651868,239.6843573324554,148.93290880002513,66.57898814790427,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:600,0,1:31:200,1,2,1799400.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.984,0.5502067059993893,7991,239.6843573324554,0.2,99.97,99.97,99.964,99.964,0,1,60.0,8500,Tester,spa,Soft
0.7,0.1463743496387242,0.1,0.0,0.0,0.0,2097.6995395912263,2.0,1.0,4000000.0,1.0,0.5585497398554897,5,0.5244248848978066,0.0,0,7988,0.06097582899759149,0.07617099479710979,0.016704100063591243,0.016704100063591243,0.013363280050872995,0.013363280050872995,0.00038658060147168304,0.0004295340016352034,0.022814476996018313,0.022835953696100073,239.5704659983648,148.86214002786994,66.54735166621244,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:700,0,1:31:200,1,2,1799300.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.98133333333333,0.5585497398554897,7988,239.5704659983648,0.2,99.965,99.965,99.958,99.958,0,1,60.0,8500,Tester,spa,Soft
0.8,0.16720339830948822,0.1,0.0,0.0,0.0,2111.6430099863273,2.0,1.0,4000000.0,1.0,0.5668813593237952,5,0.5279107524965819,0.0,0,7984,0.06111468932206325,0.07633762718647591,0.021812282937912708,0.021812282937912708,0.017449826350330166,0.017449826350330166,0.0005047985479916941,0.0005608872755463268,0.02329223037605277,0.023320274739830088,239.43911272445368,148.78052091270652,66.51086464568158,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:799,0,1:31:200,1,2,1799200.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.97866666666667,0.5668813593237952,7984,239.43911272445368,0.2,99.96,99.96,99.952,99.952,0,1,60.0,8500,Tester,spa,Soft
0.9,0.18799985034645633,0.1,0.0,0.0,0.0,2125.581039058627,2.0,1.0,4000000.0,1.0,0.5751999401385826,5,0.5313952597646567,0.0,0,7980,0.06125333233564304,0.07650399880277164,0.027598545399327046,0.027598545399327046,0.02207883631946164,0.02207883631946164,0.0006387091935272831,0.0007096768816969812,0.02378864217540998,0.02382412601949483,239.290323118303,148.68806736634306,66.46953419952861,ks_lamborghini_huracan_gt3,1:30:000,0,0:00:899,0,1:31:200,1,2,1799100.0,Soft,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,59.976,0.5751999401385826,7980,239.290323118303,0.2,99.955,99.955,99.946,99.946,0,1,60.0,8500,Tester,spa,Soft
